ManHATTAN
"#7 LINE, TRACK C2, COL 57"
"#7 LINE, TRACK C2, COL 57"
1 AVENUE  &  EAST 42 STREET
1 KEENER BUILDING
1 SCHWARTZ BUILDING
10 WEST 18TH ST
10 WEST 9TH ST
101 BARCLAY ST
103-107 WEST 108TH ST
108 E 29TH ST
11 MADISON AVE
110 BENNETT AVE
1109 5th ave
111 LEROY STREET
111 VARICK STREET
11-15 Leonard St
112 WEST 25TH STREET
115 CHRYSTIE STREET
115 WEST 106TH ST
115TH /116TH ST  BROADWAY
116 AVE C
118 E 59TH ST
1185 BROADWAY
11TH AVE & W 29TH ST
11TH AVE & W 49TH ST
11TH AVE & W 49TH ST
11TH AVE AND WEST 24TH ST
11TH AVE BTWN 30/31 STREETS
120 EAST 119TH STREET
120 EAST 119TH STREET
120 WALL ST
121 VARICK STREET
121-131 BENNETT AVENUE
124 EAST 125TH ST
124 WEST 39 STREET
1249 PARK AVE
125 WEST 97TH STREET
127 HARLEM RIVER DR
128 WEST END AVE
128 WEST END AVE
128 WEST END AVE
128 WESTEND AVE
129 WADSWORTH AVE
12TH AVE & 57TH ST
12TH AVE BET 40TH-42ND ST
134 MADISON STREET
135 AMSTERDAM AVE
135 AMSTERDAM AVE
135 DELANCEY ST
136 EAST 36TH ST
1367 5TH AVENUE
137-30 91ST AVE
138 WEST 127 TH ST
13TH ST & AVENUE D
13TH ST AND AVE C
1405 PARK AVE
140-52 6TH AVE
140-52 6TH AVE
141 2ND AVE
141 WEST 119TH ST
144 EAST 36TH ST
1441 BROADWAY
145 2ND AVE
145 WEST 67TH STREET
145TH STREET
146-150 WOOSTER STREET
147 7 AVE
147 7 AVE
147 7TH AVE
147 AND 7 AVE
147 SEVENTH AVE
148 BARROW STREET
148 W23RD ST
1485 PARK AVENUE
14TH ST & AVE D.    EAST 13 ST S/S
14TH ST AND AVE C
14TH ST E/O AVE C
14TH STREET
14TH STREET / AVENUE C
14TH STREET / AVENUE C
14TH STREET/AVE C
15 ST AND AVE C
150 EAST 37 ST
150 RIVERSIDE DRIVE
151-159 WEST 108 ST
156-168 NAGLE AVE
15TH ST / AVENUE C
15TH ST AND AVE C
16 STREET AND AVENUE C
160 CABRINI
161ST BETWEEN BROADWAY AND AMSTERDAM
163 EAST 74TH ST
164 CROSBY ST
165 EAST 74TH ST.
165th & riverside dr
166 EAST 63 ST
166 EAST 63RD ST
166 EAST 96TH ST
1674 BROADWAY
1676 3RD AVE
17 BATTERY PLACE
17 EAST 124TH ST
1713 MADISON AVE
173 EAST 90TH
173 east 90th st
173-179 JOHN STREET
174 EAST 74 ST
1740 MADISON AVENUE
175 EAST 4TH ST (1ST & A)
1774 3RD AVE
1774 LEXINGTON AVE
179 -00 LINDEN BLVD
18  W 71ST ST
1804-1806 2ND AVE
1806 FIRST AVE
181 MERCER STREET
182 2ND AVE
182 EAST 7TH ST
190 RIVER SIDE DRIVE
1901 1ST AVE
1901 FIRST AVE
1901 FIRST AVENUE
1901 FIRST AVENUE
1955 SECOND AVE
1955 SECOND AVE
1988 2ND AVE
"1ST AVE / 15TH, 16TH ST"
1ST AVE SERVICE RD/ N OF 125TH STREET
1ST AVE/ E 39TH ST
2 BLOOMFIELD ST
2 FIFTH AVE
2 W 46 ST
20 VESEY STREET
200 EAST 39TH STREET
201 EAST 15TH ST
201 EAST 19TH ST
201 WEST 48TH ST
203 WEST 131ST ST
204 EAST 126TH ST
2040 8TH AVE
