Spill Number,Program Facility Name,Street 1,Street 2,Locality,County,Real Address,BBL,X coordinate,y coordinate
1708039,INSIDE BASEMENT,2166 BRONX PARK EAST,,BRONX,Bronx,,,,
313093,MISS FRANCINE DAY SCHOOL,2169 GRAND CONCOURSE,,BRONX,Bronx,,,,
1009299,INDUSTRIAL PROPERTY,2170 MILL AVE,,BROOKLYN,Kings,,,,
6250,2171 COYLE ST,2171 COYLE ST,,BROOKLYN,Kings,3045 Avenue V,K/7368/17,,
1801727,LUKOIL GAS STATION,2173 GRAND CONCOURSE,,BRONX,Bronx,,,,
1705773,COMMERCIAL,218 HAMILTON AVE,,BROOKLYN,Kings,,,,
1708734,CONCRETE,218-40 100 AVE,,QUEENS,Queens,,,,
1311899,PARKING LOT,219 SULLIVAN ST,PART OF RED HOOK 4 PROPERTY,BROOKLYN,Kings,,,,
303688,TRUCK PARKING LOT,219 SULLIVAN STREET,PART OF RED HOOK 4 PROPERTY,BROOKLYN,Kings,,,,
9513957,CFI STATION - EXXONMOBIL,219-02 HORACE HARDING,,BAYSIDE,Queens,,,,
9801268,DUNCAN BROTHERS SERVICE S,219-25 MERRICK BOULEVARD,,QUEENS,Queens,,,,
1310103,PELHAM PKWY MGMT,2197 CRUGER AVE,,BRONX,Bronx,,,,
1305688,ON SIDEWALK NEAR EGO GAS STATION,21AVE AND 41ST,,LONG ISLAND CITY,Queens,,,,
9308519,ASTORIA FUEL FARM,21ST ST & 20TH AVENUE,,ASTORIA,Queens,,,,
8912492,21ST ST & 38TH AVE,21ST ST & 38TH AVE,,QUEENS,Queens,,,,
9401387,FEEDER # 31281,21ST ST & 38TH AVE,,LONG ISLAND CITY,Queens,,,,
9307497,FEEDER 31281,21ST ST & 38TH AVE,,LONG ISLAND CITY,Queens,,,,
9500744,21ST ST & 41ST AVE,21ST ST & 41ST AVE,,LONG ISLAND CITY,Queens,,,,
9408172,FEEDER,21ST ST BET 38TH & 39TH AVE,,LONG ISLAND CITY,Queens,,,,
9206118,FEEDER,21ST ST BET 39TH & 40TH AVE,,LONG ISLAND CITY,Queens,,,,
9400473,FEEDER # 31281,21ST ST/38TH & 39TH ST,,QUEENS,Queens,,,,
9403515,21ST ST/38TH AVE,21ST ST/38TH AVE,,LONG ISLAND CITY,Queens,,,,
9808422,ASTORIA STATION YARD,21ST STREET,,QUEENS,Queens,,,,
9402566,NO. 7 PIPELINE,21ST STREET & 41ST AVE,,QUEENS,Queens,,,,
1107190,CONED FEEDER,21ST STREET / 35TH AVENUE,,QUEENS,Queens,,,,
502104,FEEDER 31282,21ST STREET N/O 40TH AVE,,QUEENS,Queens,,,,
1711247,SOIL,22 ELLIOT PLACE,,BRONX,Bronx,,,,
1510945,MANHOLE,22 VESSEY ST,,MANHATTAN,New York,,,,
706065,UNITED NATIONS,220 EAST 42ND ST, ,NEW YORK,New York,,,,
1204146,DOUBLE E PLATING/HYGRADE POLISHING,22-07 41ST AVENUE,,QUEENS,Queens,,,,
1800776,QUEENS BRIDGE SUB STATION,22-09 39 AVE,,QUEENS,Queens,,,,
1702498,QUEENS BRIDGE SUBSTATION,22-09 39TH AVE,,LONG ISLAND CITY,Queens,,,,
200323,QUEENSBRIDGE SUBSTATION TR #1,22-09 39TH AVENUE,,QUEENS,Queens,,,,
200328,QUEENSBRIDGE SUBSTATION TR #2,22-09 39TH AVENUE,,QUEENS,Queens,,,,
1707817,TRANSFORMER 1 QUEENS BRIDGE SUB STATION,2209 39TH ST,,QUEENS,Queens,,,,
1301128,ALLEN BRITE WAY,22-09 QUEENS PLAZA NORTH,,LONG ISLAND CITY,Queens,,,,
1701458,APARTMENT BLDG,221 VANBUREN ST,,BROOKLYN,Kings,,,,
1701529,APT BUILDING,222 EAST 17 ST,,BROOKLYN,Kings,,,,
1803148,UNDERGROUND STRUCTURE,223 WEST 38TH ST & 7TH AVE,,MANHATTAN,New York,,,,
1604577,COMMERCIAL,223-20 BRADDOCK AVE,,QUEENS VILLAGE,Queens,,,,
909874,RESIDENCE,223-43 114TH RD,,CAMBRIA HEIGHTS,Queens,,,,
1501335,SOIL BORINGS,22-36 2ND AVE,,BROOKLYN,Kings,,,,
803135,COMMERCIAL,224 ATLANTIC AVE, ,BROOKLYN,Kings,,,,
9903045,GULF SERVICE STATION,224-01 NORTH CONDUIT AVE,,LAURELTON,Queens,,,,
8809052,ATI WESTCHESTER AND GLEBE,2241 WESTCHESTER AVE,,BRONX,Bronx,,,,
8809052,ATI WESTCHESTER AND GLEBE,2241 WESTCHESTER AVE,,BRONX,Bronx,,,,
1502304,DAVID LING,225 EAST 21ST,,NEW YORK,New York,,,,
1402567,APARTMENT BLDG,225 EAST 46TH STREET,,MANHATTAN,New York,,,,
1405008,OUTSIDE,225 THIRD STREET,,BROOKLYN,Kings,,,,
802029,CONVENT,226 EAST 113TH STREET, ,NEW YORK,New York,,,,
1403504,OER SITE- 14CVCP169X,226 FORDHAM PLACE,CONSTRUCTION SITE,BRONX,New York,,,,
1606649,RESIDENCE,2261 42ND ST,,ASTORIA,Queens,,,,
1202560,APARTMENMT BLDG TTF,2265 MORRIS AVE,,BRONX,Bronx,,,,
9768,EDKINS YARD,2265 RICHMOND TERRACE,2319 RICHMOND TERRACE,STATEN ISLAND,Richmond,,,,
1708018,CONCRETE BASEMENT,228 EAST 38TH ST,,BROOKLYN,Kings,,,,
1307584,PRIVATE RESIDENCE,228-14 138TH AVE,,LAURELTON,Queens,,,,
9705804,GETTY #98465,2285 FLATBUSH AVENUE,,BROOKLYN,Kings,,,,
1711296,OUR LADY QUEEN OF ANGELS,229 EAST 112TH STREET,OFF. ADD: 226 EAST 113TH STREET,NEW YORK,New York,,,,
9900272,229 EAST 94TH ST,229 EAST 94TH STREET,,BROOKLYN,Kings,,,,
409978,ASTOR OPERATING CORP/CITYGAS,2290 BOSTON RD,,BRONX,Bronx,,,,
409978,ASTOR OPERATING CORP/CITYGAS,2290 BOSTON RD,,BRONX,Bronx,,,,
300040,FEEDER 28242,22ND ST S/O 37TH AVE,,QUEENS,Queens,,,,
1500501,EAST RIVER SUBSTATION,230 AVE C,,MANHATTAN,New York,,,,
1302812,FORMER METALS MANUFACTURER/POSSIBLE FUTURE BCP,23-01 QUEENS PLAZA SOUTH,,LONG ISLAND CITY,Queens,,,,
1302812,FORMER METALS MANUFACTURER/POSSIBLE FUTURE BCP,23-01 QUEENS PLAZA SOUTH,,LONG ISLAND CITY,Queens,,,,
1610898,COMMERCAL,23-10 QUEENS PLAZA SOUTH,,LONG ISLAND CITY,Queens,,,,
9711173,SUNOCO FORMER GAS STATION,2310 TILLOTSON AVE,,BRONX,Bronx,,,,
1207331,JOHNS AUTO SVC,231-06 NORTHERN BLVD,,DOUGLASTON,Queens,,,,
503427,COMMERCIAL PROPERTY - MISC,232-17 MERRICK BLVD, ,SPRINGFIELD GARDENS,Queens,,,,
1706457,RITE OF WAY,2334 BOSTON RD,,BRONX,Bronx,,,,
1502628,UNDERGROUND TANK,234 EAST 149TH ST,,BRONX,Bronx,,,,
9315516,AMOCO,234-22 MERRICK BOULEVARD,234022 MERRICK BLVD,LAURELTON,Queens,,,,
9315516,AMOCO,234-22 MERRICK BOULEVARD,234022 MERRICK BLVD,LAURELTON,Queens,,,,
1215703,314 RUTLEDGE STREET  LLC,314 RUTLEDGE STREET,,BROOKLYN,Kings,,,,
751350,APARTMENT BUILDING,236 MOORE STREET,,BROOKLYN,Kings,,,,
8907784,WAGNER -NYCHA,2360 1ST AVENUE,,NEW YORK CITY,New York,,,,
1603605,CON ED SUBSTATION,237 FRONT ST,,SEAPORT,New York,,,,
1611422,SEAPORT SUBSTATION TRANSFORMER #5,237 FRONT ST,,MANHATTAN,New York,,,,
1007919,COMMERCIAL PROPERTY,2378 ARTHUR AVE,,BRONX,Bronx,,,,
1300148,PRIVATE RESIDENCE,2385 Dickens St,,Far Rockaway,Queens,,,,
1800048,RESIDENCE/COMMERICAL,239 ELIZABETH ST,,NEW YORK,New York,,,,
120,`-NYCT,23RD ST & 7TH AVE,,MANHATTAN,New York,,,,
814102,ASSER LEVY PARK,23RD ST & FDR,NYC PARKS DEPT,MANHATTAN,New York,,,,
1308069,24 OAK LLC,24 OAK ST,,GREEN POINT,Kings,6 Oak Street,K/2570/36,,
9010234,OCEAN HILL -NYCHA,24 STONE AVENUE,,BROOKLYN,Kings,,,,
1112103,APARTMENT BLDG,24 w 121 St,,Manhattan,New York,,,,
1603226,ASPHALT,240 4TH ST,,QUEENS,Queens,,,,
1604331,COURT YARD,240 W 132ND STREET,,NEW YORK,New York,,,,
712682,DEVELOPMENT,240 WEST BROADWAY, ,NEW YORK CITY,New York,,,,
1507415,CONCRETE SOIL GRASS,240-01 NEW HALL AVE,,QUEENS,Queens,,,,
1405230,MUGLER RICHARD SHORING CO INC.,2401 3RD AVE,,BRONX,Bronx,,,,
407864,240 WEST 116TH ST,240-242 WEST 116TH ST, ,MANHATTAN,New York,244 West 116 Street,M/1831/53,,
1705466,SOIL AND CONCRETE,2407 EAST CHESTER ROAD,,BRONX,Bronx,,,,
1509511,COMMERICAL PARKING LOT - PHASE II,2409 JEROME AVE,,BRONX,Bronx,,,,
9901132,EXXON STATION/FORMER CITYGAS,241-15 HILLSIDE AVENUE,,BELLEROSE,Queens,,,,
9901132,EXXON STATION/FORMER CITYGAS,241-15 HILLSIDE AVENUE,,BELLEROSE,Queens,,,,
1610110,BRICKS,2418 MATTHEWS AVE,,BRONX,Bronx,,,,
1706813,CHERRY STREET SUBSTATION,242 CHERRY STREET,,MANHATTAN,New York,,,,
1800502,TRANSFORMER VAULT #VO266,242-02 DOUGLASTON PKWY,,QUEENS,Queens,,,,
712821,FORMER DRY CLEANER,242-288 LIVONIA AVE,,BROOKLYN,Kings,,,,
1101592,INTERMEDIATE SCHOOL 14,2424 BATCHELDER ST,,BROOKLYN,Kings,,,,
1409728,TTF - IS #14 SCHOOL,2424 VATCHELDER ST,,BROOKLYN,Kings,,,,
1406067,TTF,2426 GRAND AVE,,BRONX,Bronx,,,,
1403572,EXISTING BUILDING (CONSTRUCTION AT LOCATION),243 EAST 7TH ST,,NEW YORK,New York,,,,
9611473,ULMER PARK BUS DEPOT -NYCT,2449 HARWAY AVE,,BROOKLYN,Kings,,,,
9611473,ULMER PARK BUS DEPOT -NYCT,2449 HARWAY AVE,,BROOKLYN,Kings,,,,
1500044,BP 11229,245-20 139TH AVE,,ROSEDALE,Queens,,,,
1103418,FORMER GASTERIA STATION,2460 EAST TREMONT AVENUE,,BRONX,Bronx,,,,
1011459,FORMER GAS STATION,24-61 49TH STREET,A.K.A. 49-01 25TH AVE,ASTORIA,Queens,,,,
1708148,BROWNSVILLE SUB STATION,247 WILLIAMS AVE,,BROOKLYN,Kings,,,,
1704384,BROWNSVILLE SUBSTATION,247 WILLIAMS ST,,BROOKLYN,Kings,,,,
1708172,BROWNSVILLE,247 WILLIAMS ST,,BROOKLYN,Kings,,,,
1708153,COMMERCIAL,247 WILLIAMS ST,,BROOKLYN,Kings,,,,
9914635,BROWNSVILLE SUBSTATION TR #1,247 WILLIAMS STREET,,BROOKLYN,Kings,,,,
1711487,WILLOW BROOK SUB STATION,2475 VICTORY BLVD,,RICHMOND,Richmond,,,,
1508272,ACROSS FROM ADDRESS,25 JAMAICA AVE,,BROOKLYN,Kings,,,,
8807411,NYCT EAST NEW YORK DEPOT,25 JAMAICA AVENUE,,BROOKLYN,Kings,,,,
1206755,SIDEWALK,25 JAMAICA AVENUE,,BROOKLYN,Kings,,,,
9302408,INGERSOLL HOUSES -NYCHA,25 MONUMENT WALK,,BROOKLYN,Kings,,,,
108531,E 16TH ST PURS PLANT M54,250 AVE C,,MANHATTAN,New York,,,,
108510,EAST 16TH PURS PLANT M55,250 AVE C,,MANHATTAN,New York,,,,
400097,EAST 16TH ST PURS,250 AVENUE C,,MANHATTAN,New York,,,,
1502702,MADISON SQUARE BOYS AND GIRLS CLUB,250 BRADHURST AVENUE,,MANHATTAN,New York,,,,
201746,BP AMOCO STATON #479,250 EMPIRE BLVD,,BROOKLYN,Kings,,,,
201746,BP AMOCO STATON #479,250 EMPIRE BLVD,,BROOKLYN,Kings,,,,
201746,BP AMOCO STATON #479,250 EMPIRE BLVD,,BROOKLYN,Kings,,,,
413529,APARTMENT,250 PARKVILLE AVE, ,BROOKLYN,Kings,,,,
1507371,PARKING LOT,250 WATER STREET,,MANHATTAN,New York,,,,
1500593,NYC SANITATION,2500 RICHMOND AVE,,STATEN ISLAND,Richmond,,,,
1405278,TANK TEST FAIL,2501 AMSTERDAM AVE,,MANHATTAN,New York,,,,
1710789,CITBANK,2501 JACKSON AVE,,LONG ISLAND CITY,Queens,,,,
1410921,RESIDENCE,2501 MORRIS AVENUE,,BRONX,Bronx,,,,
9907508,TILDEN AV SUB STATION,2502 TILDEN AVE,,BROOKLYN,Kings,,,,
403459,CITYGAS STATION,2509 VICTORY BLVD,VICTORY BLVD AND WILLOUGHBY,STATEN ISLAND,Richmond,,,,
9803835,MAMM REALTY,25-17 41ST AVE,,LONG ISLAND CITY,Queens,,,,
9803835,MAMM REALTY,25-17 41ST AVE,,LONG ISLAND CITY,Queens,,,,
409632,MOBILE # 17-FLG,252 ATLANTIC AVENUE,,BROOKLYN,Kings,,,,
409632,MOBILE # 17-FLG,252 ATLANTIC AVENUE,,BROOKLYN,Kings,,,,
409632,MOBILE # 17-FLG,252 ATLANTIC AVENUE,,BROOKLYN,Kings,,,,
409632,MOBILE # 17-FLG,252 ATLANTIC AVENUE,,BROOKLYN,Kings,,,,
1200407,OUTSIDE,2525 KINGS HIGHWAY,,BROOKLYN,Kings,,,,
9008198,MOBIL S/S,2525 VICTORY BLVD,,STATEN ISLAND,Richmond,,,,
1703573,GREENWOOD SUBSTATION TRANSFORMER #5,253 23RD ST,,BROOKLYN,Kings,,,,
9001894,MOBIL S/S #17-JTP,253 EAST 2ND STREET,MANHATTAN,,New York,,,,
9001894,MOBIL S/S #17-JTP,253 EAST 2ND STREET,MANHATTAN,,New York,,,,
1600873,CONDO BLDG/PRIVATE RESD,253 HENRY ST,,BROOKLYN,Kings,,,,
1107719,PAD MOUNT TRANSFORMER,2535 NEWBOLD AVE,,BRONX,Bronx,,,,
1708008,VACAN LOT,254 EUCLID AVE,,BROOKLYN,Kings,,,,
1707595,SOIL,255 EAST 138TH,,BRONX,Bronx,,,,
1606795,DEMO,255 EAST HOUSTON ST,,MANHATTEN,New York,,,,
704128,EXCAVATION,2550 WEBB AVE, ,BRONX,Bronx,,,,
9902856,CAROLEI REALTY,2561 BOSTON RD,AKA 800 ALLERTON AVE,BRONX,Bronx,,,,
9506885,40 PRECINCT NYPD -DDC,257 ALEXANDER AVENUE,,BRONX,Bronx,251 Alexander Avenue ,X/2314/30,,
1109979,CITY LANDS AUTO REPAIR - TTF,2575 BOSTON POST RD,,BRONX,Bronx,,,,
1709199,SOIL,258 23 ST,,BROOKLYN,Kings,,,,
1703061,BLUE STONE,258 23RD ST,,BROOKLYN,Kings,,,,
1611395,FEEDER LINE,258 23RD ST,,BROOKLYN,Kings,,,,
1710586,GREENWOOD SUBSTATION,258 23RD ST,,BROOKLYN,Kings,,,,
1707792,GREENWOOD SUBSTATION,258 23RD ST,,BROOKLYN,Kings,,,,
1703012,REACTOR GREENWOOD SUBSTATION,258 23RD ST,,BROOKLYN,Kings,,,,
1708131,TRANSFORMER,258 23RD ST,,BROOKLYN,Kings,,,,
1708648,GREENWOOD SUBSTATION,258 23RD STREET,,BROOKLYN,Kings,,,,
1708258,COMMERCIAL,258 23TH ST,,BROOKLYN,Kings,,,,
1608021,FREDERICK DOUGLASS ACADEMY,2581 ADAM CLAYTON POWELL JR BLVD,148TH STREET LENOX TERMINAL STATION,MANHATTAN,New York,,,,
604377,COMMERCIAL PROPERTY,2586 CONEY ISLAND AVE, ,BROOKLYN,Kings,,,,
8709772,25TH ST / FDR DR SERV RD,25TH ST / FDR DR SERV RD,,NEW YORK CITY,New York,,,,
1207787,NY SAND AND STONE,25TH ST AND GOWANUS EXPRESSWAY,,BROOKLYN,Kings,,,,
1207787,NY SAND AND STONE,25TH ST AND GOWANUS EXPRESSWAY,,BROOKLYN,Kings,,,,
9305122,SUBWAY R LINE -NYCT,25TH STREET AND 4TH AVENUE,EAGLE SERVICE STATION 737 4TH AVE,BROOKLYN,Kings,,,,
401337,EAST RIVER HOUSING,26 LEWIS STREET,,NEW YORK,New York,,,,
1500517,CONGREGATION,260 LEE AVE, ,BROOKLYN,Kings,,,,
1310509,CHURCH OF THE MEDIATOR,260 WEST 231ST ST,,BRONX,Bronx,,,,
1101667,NEW GLENOAKS NURSING HOME - TTF,260-01 79TH AVE,,QUEENS,Queens,,,,
9607180,BP AMOCO SERVICE STATION #60699,2617 86TH STREET,,BROOKLYN,Kings,,,,
9607180,BP AMOCO SERVICE STATION #60699,2617 86TH STREET,,BROOKLYN,Kings,,,,
1401845,FORMER BROOKLYN ARMS HOTEL,262 - 268 ASHLAND PL,,BROOKLYN,Kings,,,,
8708729,FORMER HESS STATION 32296,26-27 COLLEGE PT BLVD,AKA SPEEDWAY,FLUSHING,Queens,,,,
9912611,PARK AVE INTRADE INC/GULF STATION,2633 OCEAN AVE,,BROOKLYN,Kings,,,,
1512347,DRILL PIT,264 EAST 7TH ST,,MANHATTAN,New York,,,,
1708958,HALLETTS POINT BUILDING 2 & 3,26-40 1ST ST,,ASTORIA,Queens,,,,
1306370,COMMERCIAL BUSINESS,2660 CONEY ISLAND AVE,,BROOKLYN,Kings,,,,
1103076,UNDERGROUND TANK - TTF,2661 MARION AVE,,BRONX,Bronx,,,,
9811448,268-14 81ST AVENUE,268-10 81ST AVE,,QUEENS,Queens,268-14 81st Avenue ,Q/8743/102,,
1202026,OIL SPILL IN BASEMENT IN VACANT HOUSE,269 EAST 48TH STREET,,BROOKLYN,Kings,,,,
1709837,CON EDISON - CONCRETE,27 AND 3RD AVE,,BROOKLYN,Kings,,,,
1709695,CONCRETE,27 AND 3RD AVE,,BROOKLYN,Kings,,,,
1710067,CONCRETE,27 BRIDGE ST,,MANHATTAN,New York,,,,
1803209,RESIDENCE,27 WEST 69TH ST,,NEW YORK,New York,,,,
1601739,TTF - PUBLIC SCHOOL X022,270 EAST 167TH ST,,BRONX,Bronx,,,,
9913082,GASGO,27-01 JACKSON AVE,,LONG ISLAND CITY,Queens,,,,
1802299,FORMER BLACK BEAR LUBE,27-10 49 AVE,,LONG ISLAND CITY,Queens,,,,
9412922,GRAVESEND HOUSES -NYCHA,2719 WEST 33RD STREET,,BROOKLYN,Kings,,,,
1710051,UNKNOWN LLC,272 GREENE AVE,,BROOKLYN,Kings,,,,
1710051,UNKNOWN LLC,272 GREENE AVE,,BROOKLYN,Kings,,,,
9909440,WYCKOFF HOUSING -NYCHA,272 WYCKOFF STREET,,BROOKLYN,Kings,,,,
1105086,APARTMENT BUILDING - TTF,273 GRAND STREET,,MANHATTAN,New York,,,,
1215732,STORE FRONT/APARTMENTS - TTF,273-275 GRAND ST,,NEW YORK,New York,,,,
1708149,BROWNVILLE SUB STATION,274 WILLIAMS ST,,BROOKLYN,Kings,,,,
750551,ASSOCIATES COMPUTER,275 WEST 231ST STREET,,,Bronx,,,,
1605124,APARTMENT BUILDING,2754 CLAFLIN AVE,,BRONX,Bronx,,,,
9905334,TRANSPORTATION GARAGE,276 AVENUE C,,MANHATTAN,New York,,,,
1214944,AWME CHURCH,277 STUYVESANT AVE,,BROOKLYN,Kings,,,,
1710668,TRANSFORMER 14,27TH & 3RD AVE,,BROOKLYN,Kings,,,,
1801190,CON ED,27TH AND 3RD AVE,,BROOKLYN,Kings,,,,
202983,GOWANUS SUBSTATION PH 2,27TH STREET & 3RD AVENUE,,BROOKLYN,Kings,,,,
1215144,GOWANIS SUBSTATION,27TH STREET / 3 RD AVE,,BROOKLYN,Kings,,,,
1510901,GOWANAS SUB STATION,27TH STREET AND 3RD AVE,,BROOKLYN,Richmond,,,,
9815319,MORRIS AUTO CENTER -MTBE,28 CATON AVE,,BROOKLYN,Kings,,,,
1709104,SOIL,28 GRAMERCY PARK SOUTH,,MANHATTAN,New York,,,,
811098,280 DEVELOPMENT,280 RICHARDS STREET,,BROOKLYN,Kings,270 Richards Street,K/612/150,,
1500895,TTF,28-01 41ST ST,,QUEENS,Queens,,,,
9315374,THROGGS NECK HOUSES -NYCHA,2805 DEWEY AVENUE,,BRONX,Bronx,,,,
1604675,SERVICE CENTER,281 11TH AVE, ,NEW YORK,New York,,,,
9907006,DDC - CORONA AUTO REPAIR EDC,28-11 COLLEGE POINT BOULEVARD,,FLUSHING,Queens,,,,
512409,BUSINESS,28-11 QUEENS PLAZA NORTH,,LONG ISLAND,Queens,,,,
1501330,COMMERCIAL LOT,282 EAST 134TH STREET,,BRONX,Bronx,,,,
1605901,VACANT BLDG,2840 ATLANTIC AVE,,BROOKLYN,Kings,,,,
1800051,RESIDENCE,285 NY AVE,,BROOKLYN,Kings,,,,
1304829,TTF - APARTMENT BLDG,285 ST NICHOLAS AVE,,MANHATTAN,New York,,,,
313474,TWO BRIDGES -NYCHA,286 SOUTH STREET,,MANHATTAN,New York,,,,
1701762,SOIL,287 MASPETH AVE,,BROOKLYN,Kings,,,,
1403569,COMMERCIAL BUSINESS,2875 SEDGWICK AVE,,BRONX,Bronx,,,,
1606644,COMMERCIAL,2875 SEDGWICK AVE,,BRONX,Bronx,,,,
507014,NYCDEP STATEN ISLAND SEWER MAIN,288 CLOVE ROAD,,STATEN ISLAND,Richmond,,,,
9830002,FORMER HESS STATION 32518,2880 ATLANTIC AVE,AKA SPEEDWAY #7823,BROOKLYN,Kings,,,,
9104080,GAS STATION -MTBE,289 HAMILTON AVENUE,,BROOKLYN,Kings,,,,
9104080,GAS STATION -MTBE,289 HAMILTON AVENUE,,BROOKLYN,Kings,,,,
9104080,GAS STATION -MTBE,289 HAMILTON AVENUE,,BROOKLYN,Kings,,,,
1214682,CLEM SNACKS WAREHOUSE,29 53RD ST,,BROOKLYN,Kings,,,,
9905681,BROOKLYN COLLEGE,2900 BEDFORD AVE,,BROOKLYN,Kings,,,,
9606640,MARINE PARK GARAGE DPR -DDC,2900 FLATBUSH AVE/MARINE PARK GOLF COURSE,,BROOKLYN,Kings,,,,
808851,FLOOR DRAIN,2908 NOSTRAND AVE,,BROOKLYN,Kings,,,,
1405277,TANK TEST FAIL,2913 FOSTER AVE,,BROOKLYN,Kings,,,,
100182,BP AMOCO STATION #172,2918 BOSTON POST ROAD,,BRONX,Bronx,,,,
100182,BP AMOCO STATION #172,2918 BOSTON POST ROAD,,BRONX,Bronx,,,,
100182,BP AMOCO STATION #172,2918 BOSTON POST ROAD,,BRONX,Bronx,,,,
1709274,APT BLD FARBAND HOPUSING CORP,2925 MATTHEWS AVE,,BRONX,Bronx,,,,
9710694,ENGINE CO. 089/LADD. CO. 50 FDNY -DDC,2926 BRUCKER BLVD,,BRONX,Bronx,,,,
403440,ENGINE CO. 079 FDNY -DDC,2928 BRIGGS AVENUE,,BRONX,Bronx,,,,
9302583,4750 BEDFORD AVE,4750 BEDFORD AVE,,BROOKLYN,Kings,,,,
1802813,HOME,294 HOYT ST,,BROOKLYN,Kings,,,,
9806522,ATLANTIC AVE SERVICE CNTR,2950 ATLANTIC AVENUE,,BROOKLYN,Kings,,,,
9806522,ATLANTIC AVE SERVICE CNTR,2950 ATLANTIC AVENUE,,BROOKLYN,Kings,,,,
9806522,ATLANTIC AVE SERVICE CNTR,2950 ATLANTIC AVENUE,,BROOKLYN,Kings,,,,
9806522,ATLANTIC AVE SERVICE CNTR,2950 ATLANTIC AVENUE,,BROOKLYN,Kings,,,,
9514694,60 PRECINCT NYPD -DDC,2951 WEST 8TH STREET,,BROOKLYN,Kings,2927 West 8 Street,K/7279/290,,
9415851,O'DWYER GARDENS -NYCHA,2959 WEST 33RD STREET,,BROOKLYN,Kings,,,,
402600,GAS STATION,2965 86TH STREET,,BROOKLYN,Kings,,,,
402600,GAS STATION,2965 86TH STREET,,BROOKLYN,Kings,,,,
402600,GAS STATION,2965 86TH STREET,,BROOKLYN,Kings,,,,
402600,GAS STATION,2965 86TH STREET,,BROOKLYN,Kings,,,,
9402460,2975 AVENUE U,2975 AVENUE U,,BROOKLYN,Kings,2961 Avenue U ,K/7336/40,,
1705418,SUBSTATION WATER STREET,299 WATER ST,,BROOKLYN,Kings,,,,
9301953,GASETERIA,2990 VICTORY BLVD,,STATEN ISLAND,Richmond,,,,
9502298,29TH ST & 3RD AVE,29TH ST/3RD AVE,,BROOKLYN,Kings,,,,
9502298,29TH ST & 3RD AVE,29TH ST/3RD AVE,,BROOKLYN,Kings,,,,
1405490,COMMERCIAL PROPERTY,3 HANOVER SQUARE,,NEW YORK,New York,,,,
9906743,NEW STYLE WASTE REMOVAL CORP,3 RAILROAD PLACE,AKA BORO WIDE RECYCLING CORP,MASPETH,Queens,,,,
9906743,NEW STYLE WASTE REMOVAL CORP,3 RAILROAD PLACE,AKA BORO WIDE RECYCLING CORP,MASPETH,Queens,,,,
9906743,NEW STYLE WASTE REMOVAL CORP,3 RAILROAD PLACE,AKA BORO WIDE RECYCLING CORP,MASPETH,Queens,,,,
9906743,NEW STYLE WASTE REMOVAL CORP,3 RAILROAD PLACE,AKA BORO WIDE RECYCLING CORP,MASPETH,Queens,,,,
1802544,CONSTRUCTION SITE,30 E 29TH ST,,MANHATTAN,New York,,,,
9609452,SOUTH MANHATTAN SHOP DEP -DDC,30 PIKE STREET,,MANHATTAN,New York,,,,
1703826,COMMERCIAL,300 COLUMBIA ST,,BROOKLYN,Kings,,,,
9500770,JACKSON HOUSES -NYCHA,300 EAST 158TH STREET,,BRONX,Bronx,,,,
8800244,MOBIL GREENPOINT,300 NORTH HENRY STREET, ,BROOKLYN,Kings,,,,
1508888,SOIL,300 SOUNDVIEW AVE,,BRONX,Bronx,,,,
1706260,TRANSFORMER 8,300 WEST 201ST ST,,BRONX,Bronx,,,,
1800983,RESIDENTIAL,3005 EDSON AVE,,BRONX,Bronx,,,,
106243,HOSPITAL FOR JOINT DISEAS,301 EAST 17TH ST,,NEW YORK,New York,,,,
1409199,TTF- APARTMENT BUILDING,301 EAST 52ND ST,APARTMENT BLDG,MANHATTAN,New York,,,,
9512589,84 PRECINCT NYPD -DDC,301 GOLD STREET,,BROOKLYN,Kings,287 Gold Street,K/134/6,,
9907560,NEWTOWN CREEK WPCP DEP -DDC,301 GREENPOINT AVENUE,,BROOKLYN,Kings,,,,
867,NEWTOWN CREEK WPCP DEP -DDC,301 GREENPOINT AVENUE,,BROOKLYN,Kings,,,,
1400730,M12 SANITATION GARAGE,301 WEST 215 ST,,NY,New York,,,,
776,4823 BEACH 48TH ST,4823 BEACH 48TH ST,,BROOKLYN,Kings,,,,
709715,SILVERIO HOME,3022 WALLACE AVE, ,BRONX,Bronx,,,,
9813881,BUCKEYE PIPELINE,30-25 GREENPOINT AVE,,LONG ISLAND CITY,Queens,,,,
9813881,BUCKEYE PIPELINE,30-25 GREENPOINT AVE,,LONG ISLAND CITY,Queens,,,,
1200318,SIMS METAL MANAGEMENT,30-27 GREENPOINT AVE,,LONG ISLAND CITY,Queens,,,,
812053,AUTO REPAIR SHOP,3037 LURTING AVE,,BRONX,Bronx,,,,
8904339,MOBIL S/S,304 COLUMBIA STREET, ,BROOKLYN,Kings,,,,
9503056,CON EDISON - VAULT #5241,304 EAST 45TH ST,,MANHATTAN,New York,,,,
711652,THE DERMOT COMPANY,30-49 CRESCENT STREET,,ASTORIA,Queens,,,,
1406550,RESIDENTIAL CO-OP BUILDING,305 EAST 24TH ST,,MANHATTAN,New York,,,,
8809911,498 3RD AVENUE,498 3RD AVENUE,498 THIRD AVENUE,BROOKLYN,Kings,,,,
