Spill Number,Program Facility Name,Street 1,Street 2,Locality,County,Real Address,BBL,X coordinate,y coordinate
9409348,RIKERS ISLAND AUTO REPAIR SHOP DOC -DDC,17-17 HAZEN STREET,,BRONX,Queens,,,,
9705042,ENGINE CO. 207/ LADD. CO. 11 FDNY -DDC,172 TILLARY STREET,,BROOKLYN,Kings,,,,
551708,PARKING GARAGE,173 E 156TH STREET,AKA 751 CONCOURSE VILLAGE WEST,BRONX,Bronx,,,,
1800220,AIMCO,173 EAST 90TH,,MANHATTAN,New York,,,,
1803353,EXCAVATION SITE,173 east 90thSTREET,,manhattan,New York,,,,
6332,EMPTY LOT,173-179 JOHN STREET,NW CORNER OF JOHN & SOUTH STREETS,LOWER MANHATTAN,New York,,,,
1510111,YARD OUT BUILD,1735 MONTGOMERY PLACE,2540 E TREMONT AVE,BRONX,Bronx,,,,
1605590,APT BUILDING,174 EAST 74 ST,,NEW YORK,New York,,,,
9402692,WOLF AMOCO STATION,1740 ATLANTIC AVENUE,,BROOKLYN,Kings,,,,
9402692,WOLF AMOCO STATION,1740 ATLANTIC AVENUE,,BROOKLYN,Kings,,,,
9315466,TAFT HOUSES -NYCHA,1740 MADISON AVENUE,,NEW YORK,New York,,,,
9930013,VILLAGE VIEW HOUSING CORP,175 EAST 4TH ST (1ST & A),,NEW YORK,New York,,,,
201842,WOLF/WEBSTER-ITTNER CORP,1752 WEBSTER AVE,,BRONX,Bronx,,,,
9909665,SUNOCO SERVICE STATION,175-33 HORACE HARDING EXP,,FLUSHING,Queens,,,,
5325,BROOKLYN NORTH 08 DOS -DDC,1755 PACIFIC STREET,,BROOKLYN,Kings,,,,
5325,BROOKLYN NORTH 08 DOS -DDC,1755 PACIFIC STREET,,BROOKLYN,Kings,,,,
5325,BROOKLYN NORTH 08 DOS -DDC,1755 PACIFIC STREET,,BROOKLYN,Kings,,,,
9703288,BROOKLYN NORTH 08 DOS -DDC,1755 PACIFIC STREET,,BROOKLYN,Kings,,,,
2025,DEPT OF SANITATION,1760 ATLANTIC AVE,,BROOKLYN,Kings,,,,
706576,GAS STATION,1760 FLATBUSH AVE, ,BROOKLYN,Kings,,,,
1611097,COMMERCIAL BUILDING - PHASE II,177 BAYARD STREET,,BROOKLYN,Kings,,,,
1608389,SOIL,177-19 106TH AVE,,QUEENS,Queens,,,,
1008335,PVT DWELLING,177-20 106 AVE,,JAMAICA,Queens,,,,
304465,LEXINGTON HOUSES -NYCHA,1774 3RD AVE,,MANHATTAN,New York,,,,
1705674,NYCT (ON 6 LINE),1774 LEXINGTON AVE,110 TH ST AND LEXINGTON AVE,MANHATTAN,New York,,,,
1800545,CITGO STATION #17,1780 CONEY ISLAND AVE,,BROOKLYN,Kings,,,,
9411551,EXXONMOBIL - CUMBERLAND FARMS,178-02 UNION TURNPIKE,,FLUSHING,Queens,,,,
1710373,SUNOCO,1781 ARTHUR KILL RD,,STATEN ISLAND,Richmond,,,,
9609282,SUNOCO,1781 ARTHUR KILL RD,,STATEN ISLAND,Richmond,,,,
9911266,GAS STATION,1781 ATLANTIC AVENUE,IMPACTED SITE: 50 ROCHESTER AVE,BROOKLYN,Kings,,,,
502868,SUNOCO,1781 BAY RIDGE PARKWAY,,BROOKLYN,Kings,,,,
901699,NYSDOH PAD MOUNTED TRANSFORMER,178-50 LINDEN BLVD,,QUEENS,Queens,,,,
1103723,BROOKLYN VA MED CTR - TTF,179 -00 LINDEN BLVD,,JAMAICA,New York,,,,
1607372,CHURCH,179 NICHOLS AVE,,BROOKLYN,Kings,,,,
1708892,CONCRETE BASEMENT,18  W 71ST ST,,MANHATTAN,New York,,,,
1507819,PRIVATE RESD,18 ST FELIX ST,,BROOKLYN,Kings,,,,
1801890,EXCAVATION SITE,180 EAST 156TH ST,,BRONX,Bronx,,,,
9906013,SETH LOW HOUSES -NYCHA,180 POWELL STREET,,BROOKLYN,Kings,,,,
1710549,ASTORIA GENERATING STATION,1801 20 AVE,,ASTORIA,Queens,,,,
1709995,ASTORIA GENERATING STATION,18-01 20TH AVE,,ASTORIA,Queens,,,,
312013,ASTORIA COMPLEX,18-01 20TH AVENUE,,ASTORIA,Queens,,,,
110216,ASTORIA FUEL OIL FARM,18-01 20TH AVENUE,,ASTORIA,Queens,,,,
110322,ASTORIA GEN STATION,18-01 20TH AVENUE,,ASTORIA,Queens,,,,
109277,ASTORIA GEN STATTION,18-01 20TH AVENUE,,ASTORIA,Queens,,,,
9908239,ASTORIA GENERATING PLANT,18-01 20TH AVENUE,,ASTORIA,Queens,,,,
109218,ASTORIA GENERATING STA,18-01 20TH AVENUE,,ASTORIA,Queens,,,,
110217,ASTORIA GS TANK FARM,18-01 20TH AVENUE,,ASTORIA,Queens,,,,
109748,ORION POWER,18-01 20TH AVENUE,,ASTORIA,Queens,,,,
111312,ORION POWER,18-01 20TH AVENUE,,ASTORIA,Queens,,,,
1309393,APARTMENT BUILDING,1804-1806 2ND AVE,,MANHATTAN,New York,,,,
130050,GUNHILL DEPOT-NYCT,1805 EDSON AVENUE,,BRONX,Bronx,,,,
130050,GUNHILL DEPOT-NYCT,1805 EDSON AVENUE,,BRONX,Bronx,,,,
9212885,ISAACS HOUSES -NYCHA,1806 FIRST AVE,,MANHATTAN,New York,,,,
