ManHATTAN
"#7,"#7 ,LINE, TRACK C2, COL 57"
"#7,"#7 ,LINE, TRACK C2, COL 57"
250,250 ,AVE C
250,250 ,AVENUE C
250,250 ,BRADHURST AVENUE
250,250 ,WATER STREET
2501,2501 ,AMSTERDAM AVE
253,253 ,EAST 2ND STREET
253,253 ,EAST 2ND STREET
255,255 ,EAST HOUSTON ST
2581,2581 ,ADAM CLAYTON POWELL JR BLVD
25,25,TH ST / FDR DR SERV RD
26,26 ,LEWIS STREET
264,264 ,EAST 7TH ST
27,27 ,BRIDGE ST
27,27 ,WEST 69TH ST
273,273 ,GRAND STREET
273-275,273-275 ,GRAND ST
276,276 ,AVENUE C
28,28 ,GRAMERCY PARK SOUTH
28111,281 11,TH AVE
285,285 ,ST NICHOLAS AVE
286,286 ,SOUTH STREET
3,3 ,HANOVER SQUARE
30,30 ,E 29TH ST
30,30 ,PIKE STREET
301,301 ,EAST 17TH ST
301,301 ,EAST 52ND ST
301,301 ,WEST 215 ST
304,304 ,EAST 45TH ST
305,305 ,EAST 24TH ST
305,305 ,EAST 40TH ST
309,309 ,EAST 94TH ST
310,310 ,EAST 90TH ST
3117,3117 ,BROADWAY
312-318,312-318 ,EAST 95TH STREET (SOURCE SITE)
315,315 ,WEST 55 STREET
3162,316 2,ND AVE
319,319 ,E117TH ST
31,31,ST STREET AND 8TH AVE
320,320 ,E 40TH ST
320,320 ,E 46TH ST
320,320 ,EAST 40TH STREET
321,321 ,E63RD ST
321,321 ,EAST 63 STREET.    SUBSTATION
321,321 ,EAST 63TH ST
3225,3225 ,BROADWAY
32710,327 10,TH AVE
32710,327 10,TH AVE
33,33 ,W 74TH ST
3337,333 7,TH AVE
335,335 ,EAST 95TH ST
34,34 ,WATT STREET
345,345 ,EAST 73RD ST
347,347 ,CONVENT AVE
355,355 ,WEST 45TH ST ;BASEMENT
357,357 ,WEST 35TH STREET
369,369 ,LENOX AV
36,36,TH ST
38-42,38-42 ,EAST 29TH ST
39,39 ,EAST 21ST ST
39,39 ,WEST 37 ST
3915,3915 ,BROADWAY
393610,3936 10,TH AVE
393610,3936 10,TH AVE
3961,3961 ,TENTH AVE
4,4 ,EAST 107TH ST
4,4 ,EAST 107TH STREET
40,40 ,WATERSIDE PLAZZA
40,40 ,WEST 29TH ST
